YER151C
YGL005C
YOR270C
YGL212W
YPL234C
YLR148W
YLR396C
YIL110W
YBR164C
YDR484W
YDR080W
YJR125C
YKL143W
YPL045W
YBR097W
YPR088C
YLR113W
YLR006C
YJL128C
YLR362W
YBR231C
YDR334W
YLR357W
YDR485C
YOL012C
YPL235W
YBR279W
YDL005C
YGR104C
YDR138W
YGL127C
YGL244W
YBL093C
YNL199C
YNL139C
YNL229C
YLR226W
YKR025W
YMR043W
YOR194C
YDR527W
YPL007C
YPR133C
YPR161C
YHR058C
YBR253W
YDR195W
YPR057W
YIL040W
YMR125W
YDR159W
YBL079W
YPL178W
YDR432W
YDR378C
YPR101W
YPL213W
YPL157W
YDR364C
YBL026W
YBR152W
YPL151C
YLR147C
YDL098C
YOR250C
YJR093C
YNL232W
YGR119C
YOR160W
YFL001W
YBL072C
YLR403W
YER074W
YDR025W
YBR048W
YBR181C
YDR083W
YDR418W
YHR010W
YIL052C
YGL147C
YNL302C
YPL090C
YHR021C
YML063W
YGR159C
YGL105W
YGL211W
YPR163C
YLR061W
YOR078W
YGL076C
YLR048W
YPL086C
YGR200C
YAL020C
YGR081C
YNL182C
YHR085W
YEL026W
YBR257W
YDL208W
YOL077C
YAL025C
YBR167C
YPL131W
YKL078W
YOR310C
YLR022C
YDR339C
YOR004W
YLR175W
YNL244C
YOR260W
YGR128C
YJL035C
YLR316C
YHR070W
YOL066C
YHR019C
YBR121C
YDR341C
YDL047W
YAL047C
YNL307C
YOR073W
YCR002C
YOL069W
YFL017C
YDR016C
YNL008C
YJR090C
YDL097C
YMR314W
YBL041W
YDL147W
YFR050C
YGL011C
YGR253C
YML092C
YER094C
YOL038W
YIR011C
YCL058C
YJR059W
YLR138W
YGL008C
YJR104C
YFL023W
YKL053C-A
YHL011C
YDR226W
YBR266C
YCR047C
YOL081W
YOR360C
YNL119W
YHR111W
YPR051W
YPR131C
YAR028W
YNL055C
YKL114C
YBR011C
YDR288W
YER009W
YPR035W
YBR153W
YDL141W
YPL055C
YDL115C
YOR262W
YGR145W
YKL033W
YJR141W
YPR085C
