YBR015C
YDR245W
YER001W
YNL080C
YDR483W
YEL042W
YBR229C
YJL186W
YMR307W
YNL322C
YPR159W
YKL046C
YOR085W
YGR036C
YPL221W
YEL036C
YPL050C
YJR075W
YGL167C
YEL031W
YLR110C
YJL139C
YAL023C
YHR204W
YOR002W
YGL027C
YHR101C
YER003C
YMR149W
YOR103C
YMR200W
YGL047W
YBR070C
YJR058C
YJR005W
YOL062C
YBL037W
YNL243W
YLR370C
YDR129C
YBL007C
YLR337C
YBL047C
YCR009C
YDR388W
YKL126W
YNL138W
YOR035C
YNL084C
YAL026C
YMR109W
YNL094W
YCR088W
YBR234C
YLR242C
YCR044C
YLR372W
YCR034W
YNL323W
YLR020C
YLL012W
YDL015C
YLR100W
YDR367W
YMR281W
YDR434W
YDR437W
YNL038W
YHR188C
YDR331W
YCL052C
YGL142C
YDR414C
YML121W
YIL039W
YFL025C
YDR372C
YER122C
YBR077C
YJR033C
YKL034W
YOR359W
YKL176C
YJL117W
YOR327C
YLR292C
YDR472W
YBL040C
YNR052C
YLR442C
YDR443C
YDR227W
YBR112C
YCR084C
YJL056C
YNL025C
YOR061W
YKR101W
YAL021C
YDL042C
YMR080C
YCR081W
YBR289W
YMR263W
YOR140W
YHR077C
YPR065W
YMR182C
YLR033W
YML127W
YCR052W
YPR141C
YKL048C
YOR080W
YLR412W
YFR036W
YBR133C
YPR120C
YOR144C
YNL116W
YDR507C
YML065W
YPR162C
YBR088C
YPL132W
YPL173W
YGR220C
YLR312W-A
YCR028C-A
YLL006W
YML078W
YKL016C
YKR006C
YMR293C
YLR382C
YDR487C
YPL063W
YDR196C
YKL166C
YML006C
YMR016C
YPL106C
YBR106W
YMR285C
YBL058W
YDR389W
YHR183W
YLR027C
YKL206C
YFR010W
YDR349C
YCR028C
YBR294W
YMR093W
YDR478W
YKL088W
YOR355W
YER140W
YFR043C
YER077C
YJL077C
YLR407W
YDL146W
YOL024W
YNL187W
YNL091W
YLL007C
YCR054C
YKR071C
YNL260C
